Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite_SignUp,Chrome 120.0.0.0,,,2024-01-06 03:27:30,2024-01-06 03:30:01,2m - 31.148s,FAILED
,,,,,,,
Test Cases/SignUp_TC01,Chrome 120.0.0.0,Sign Up Process,,2024-01-06 03:27:31,2024-01-06 03:27:45,13.925s,FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-06 03:27:32,2024-01-06 03:27:37,4.789s,PASSED
"navigateToUrl(""https://www.jotform.com/"")",Chrome 120.0.0.0,,,2024-01-06 03:27:37,2024-01-06 03:27:39,2.082s,PASSED
"click(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/a_Sign Up for Free""))",Chrome 120.0.0.0,,,2024-01-06 03:27:39,2024-01-06 03:27:40,0.804s,PASSED
"click(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/button_Sign up with Email""))",Chrome 120.0.0.0,,,2024-01-06 03:27:40,2024-01-06 03:27:42,2.335s,PASSED
"setText(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/input_Name_name""), Name)",Chrome 120.0.0.0,,,2024-01-06 03:27:42,2024-01-06 03:27:43,1.348s,PASSED
"setText(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/input_Email_email""), Email)",Chrome 120.0.0.0,,,2024-01-06 03:27:43,2024-01-06 03:27:45,1.096s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/input_Password_pass""), Password)",Chrome 120.0.0.0,,,2024-01-06 03:27:45,2024-01-06 03:27:45,0.356s,FAILED
,,,,,,,
Test Cases/SignUp_TC02,Chrome 120.0.0.0,Sign Up Process,,2024-01-06 03:27:45,2024-01-06 03:27:57,12.064s,FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-06 03:27:46,2024-01-06 03:27:49,3.582s,PASSED
"navigateToUrl(""https://www.jotform.com/"")",Chrome 120.0.0.0,,,2024-01-06 03:27:49,2024-01-06 03:27:50,0.550s,PASSED
"click(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/a_Sign Up for Free""))",Chrome 120.0.0.0,,,2024-01-06 03:27:50,2024-01-06 03:27:52,2.345s,PASSED
"click(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/button_Sign up with Email""))",Chrome 120.0.0.0,,,2024-01-06 03:27:52,2024-01-06 03:27:55,2.271s,PASSED
"setText(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/input_Name_name""), Name)",Chrome 120.0.0.0,,,2024-01-06 03:27:55,2024-01-06 03:27:56,1.308s,PASSED
"setText(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/input_Email_email""), Email)",Chrome 120.0.0.0,,,2024-01-06 03:27:56,2024-01-06 03:27:57,0.983s,PASSED
